,index,tconst,originalTitle,genres,averageRating,startYear,endYear
0,25061,tt0025509,Les misérables,Drama,5.8,1934,1934
1,34966,tt0035599,Voice of Firestone Televues,\N,6.2,1943,1947
2,35167,tt0035803,Die Deutsche Wochenschau,"Documentary,News",4.5,1940,1945
3,37596,tt0038276,You Are an Artist,Talk-Show,7.3,1946,1955
4,38430,tt0039120,Americana,"Family,Game-Show",6.5,1947,1949
5,38431,tt0039121,Birthday Party,Family,5.0,1947,1949
6,38432,tt0039122,The Borden Show,"Comedy,Music",6.0,1947,\N
7,38433,tt0039123,Kraft Television Theatre,Drama,6.0,1947,1958
8,38434,tt0039124,Party Line,\N,6.1,1946,\N
9,38435,tt0039125,Public Prosecutor,"Crime,Drama,Mystery",5.3,1947,1951
10,39320,tt0040021,Actor's Studio,Drama,7.5,1948,1950
11,39321,tt0040022,The Adventures of Oky Doky,"Comedy,Family,Fantasy",7.4,1948,1949
12,39322,tt0040023,The Alan Dale Show,Music,5.4,1948,1951
13,39323,tt0040024,America Song,Music,6.6,1948,1949
14,39324,tt0040025,America Speaks,\N,5.3,1948,\N
15,39325,tt0040026,America's Town Meeting,Talk-Show,7.5,1948,1952
16,39326,tt0040027,The Arrow Show,"Comedy,Music",6.0,1948,1949
17,39327,tt0040028,Talent Scouts,"Comedy,Family,Music",6.6,1948,1958
18,39328,tt0040029,At Liberty Club,Music,5.9,1948,\N
19,39329,tt0040030,Author Meets the Critics,"Family,Talk-Show",7.8,1947,1954
20,39330,tt0040031,"Barney Blake, Police Reporter","Crime,Drama",5.4,1948,\N
21,39331,tt0040032,The Bigelow Show,Music,7.2,1948,1949
22,39332,tt0040033,Break the Bank,"Family,Game-Show",6.4,1948,1957
23,39333,tt0040034,Candid Camera,"Comedy,Family,Reality-TV",5.8,1948,1952
24,39334,tt0040035,Captain Billy's Mississippi Music Hall,"Comedy,Music",6.7,1948,\N
25,39335,tt0040036,The Chevrolet Tele-Theatre,Drama,8.0,1948,1950
26,39336,tt0040037,The Fashion Story,Comedy,9.1,1948,1949
27,39337,tt0040038,The Growing Paynes,"Comedy,Family",6.5,1948,1949
28,39338,tt0040039,Hollywood Screen Test,Family,8.7,1948,1953
29,39339,tt0040040,Kobb's Corner,\N,5.7,1948,1949
30,39340,tt0040041,Texaco Star Theatre Starring Milton Berle,"Comedy,Family",1.8,1948,1956
31,39341,tt0040042,The Morey Amsterdam Show,"Comedy,Family,Music",6.7,1948,1950
32,39342,tt0040043,Movieland Quiz,Game-Show,6.0,1948,\N
33,39343,tt0040044,Museum of Science and Industry,\N,7.6,1948,\N
34,39344,tt0040045,"Okay, Mother","Comedy,Family,Music",5.6,1948,1951
35,39345,tt0040046,On the Corner,Talk-Show,5.2,1948,\N
36,39346,tt0040047,Paris Cavalcade of Fashions,\N,8.0,1948,1949
37,39347,tt0040048,The Perry Como Show,Music,8.9,1948,1967
38,39348,tt0040049,The Philco Television Playhouse,Drama,8.7,1948,1956
39,39349,tt0040050,Picture This,Family,2.4,1948,1949
40,39350,tt0040051,Studio One,Drama,6.7,1948,1958
41,39351,tt0040052,The Swift Show,"Comedy,Music",5.6,1948,\N
42,39352,tt0040053,Toast of the Town,"Music,Talk-Show",7.0,1948,1971
43,39353,tt0040054,U.N. Casebook,\N,6.6,1948,1949
44,39354,tt0040055,Variety,\N,6.6,1948,\N
45,39355,tt0040056,Village Barn,Music,6.1,1948,1949
46,39356,tt0040057,"We, the People",Talk-Show,7.1,1948,1952
47,39357,tt0040058,Welcome Aboard,"Comedy,Music",7.1,1948,1949
